# MODULES.tsv — generated summary of the out-of-tree kernel modules in this repository.
# Regenerated 2026-09-15 from the directories here, the shipped module set's build manifest,
# and the device tree's modules.load* files. Do not hand-edit: regenerate instead.
# module = kernel module name (matches modules.load) | file = .ko filename |
# stage(s) = which boot stage ships it (1-ramdisk = first-stage init, 2-dlkm = vendor_dlkm, recovery) |
# build_dir = subdirectory here holding the module's Makefile (M= for kbuild).
module	file	stage(s)	build_dir
8250_mtk		-	8250_mtk
adapter_class	adapter_class.ko	1-ramdisk,recovery	adapter_class
adsp	adsp.ko	1-ramdisk	adsp
aee_aed	aee_aed.ko	1-ramdisk,recovery	aee_aed
aee_hangdet	aee_hangdet.ko	1-ramdisk,recovery	aee_hangdet
aee_rs	aee_rs.ko	1-ramdisk,recovery	aee_rs
archcounter_timesync	archcounter_timesync.ko	1-ramdisk	archcounter_timesync
arm_dsu_pmu	arm_dsu_pmu.ko	1-ramdisk	arm_dsu_pmu
ashmem	ashmem.ko	1-ramdisk	ashmem
atf_logger	atf_logger.ko	1-ramdisk	atf_logger
audio_ipi	audio_ipi.ko	1-ramdisk	audio_ipi
backlight_cooling	backlight_cooling.ko	1-ramdisk	backlight_cooling
blocktag	blocktag.ko	1-ramdisk,recovery	blocktag
board_temp	board_temp.ko	1-ramdisk	board_temp
bootprof	bootprof.ko	1-ramdisk,recovery	bootprof
bt_drv_connac1x	bt_drv_connac1x.ko	1-ramdisk	bt_drv_connac1x
btif_drv	btif_drv.ko	1-ramdisk	btif_drv
c2k_usb	c2k_usb.ko	1-ramdisk	c2k_usb
c2k_usb_f_via_atc	c2k_usb_f_via_atc.ko	1-ramdisk	c2k_usb_f_via_atc
c2k_usb_f_via_ets	c2k_usb_f_via_ets.ko	1-ramdisk	c2k_usb_f_via_ets
c2k_usb_f_via_gps	c2k_usb_f_via_gps.ko	1-ramdisk	c2k_usb_f_via_gps
c2k_usb_f_via_modem	c2k_usb_f_via_modem.ko	1-ramdisk	c2k_usb_f_via_modem
c2k_usb_f_via_pcv	c2k_usb_f_via_pcv.ko	1-ramdisk	c2k_usb_f_via_pcv
cam_qos	cam_qos.ko	1-ramdisk	cam_qos
camera_dip_isp6s	camera_dip_isp6s.ko	1-ramdisk	camera_dip_isp6s
camera_eeprom	camera_eeprom.ko	1-ramdisk	camera_eeprom
camera_fdvt_isp51	camera_fdvt_isp51.ko	1-ramdisk	camera_fdvt_isp51
camera_isp	camera_isp.ko	1-ramdisk	camera_isp
camera_mem	camera_mem.ko	1-ramdisk	camera_mem
camera_rsc_isp60	camera_rsc_isp60.ko	1-ramdisk	camera_rsc_isp60
ccci_auxadc		-	ccci_auxadc
ccci_ccif	ccci_ccif.ko	1-ramdisk	ccci_ccif
ccci_dpmaif	ccci_dpmaif.ko	1-ramdisk	ccci_dpmaif
ccci_fsm_scp	ccci_fsm_scp.ko	1-ramdisk	ccci_fsm_scp
ccci_cldma	ccci_cldma.ko	1-ramdisk	ccci_md_all
ccci_md_all	ccci_md_all.ko	1-ramdisk	ccci_md_all
ccci_md_clk	ccci_md_clk.ko	1-ramdisk	ccci_md_clk
